Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Manastir Sv. Petka,,Shtip,,monastery,,,Monastery St. Paraskevi,,41.7890727,22.3276385
Krushevski Manastir,,Krushevo,,monastery,,,Monastery of Krushevo,,41.3568797,21.2659215
Manastir Karpino,,Kratovo,,monastery,,,,,42.1770122,21.993118
Svetotodorski Manastir,,Demir Hisar,,monastery,,,,,41.2211194,21.3290156
Mémorial de Bitola,,Bitola,,museum,,,,,41.0410861,21.3586054
Goce Delchev Memorial House,,Bitola,,museum,,,,,41.0268954,21.3322074
Crkva sv.Jovan Krstitel,,Vinica,,church,,,,,41.8672643,22.481858
Crkva „Sv. Nikola“ - Tenovo,,Tetovo,,church,,,,,41.8948781,20.9840677
Orevoechki manastir,,Prilep,,monastery,,,,,41.3665814,21.5983235
St. Giorgi Monastery,,Makedonski Brod,,monastery,,,,,41.6347942,21.4024749
Starohristijanska bazilika,,Resen,,archaeological_site,,,,,40.868899,20.9907631
Rimska Kukja,,Resen,,archaeological_site,,,,,40.8685852,20.9909227
Rimska kukja,,Resen,,archaeological_site,,,,,40.8692875,20.990465
Ranohristijanska bazilika,,Resen,,archaeological_site,,,,,40.8692252,20.9910802
Manastirski Potok,,Prilep,,monastery,,,,,41.3913343,21.5504264
Crkva „Sv. Grigorij Palama i Dimitrij“,,Strumica,,church,,,,,41.4368801,22.6441036
Bela Crkva - Vogjani,,Krushevo,,church,,,,,41.2849923,21.350523
Bela Crkva - Obrshani,,Krushevo,,church,,,,,41.2758859,21.3566761
Isar / Idomenae,,Valandovo,,archaeological_site,,,,,41.2775784,22.4937679
D-r Nikola Nezlobinski,,Struga,,museum,,,,,41.1805738,20.6776078
Protestantska crkva,,Strumica,,church,,,,,41.4164588,22.7503838
Bela Crkva - Pashino Ruvci,,Demir Hisar,,church,,,,,41.2615529,21.3610561
Konjuh,,Kratovo,,archaeological_site,,,,,42.1003011,21.9665342
Bargala,,Shtip,,archaeological_site,,,,,41.7995125,22.289829
Roman Bathhouse,,Strumica,,archaeological_site,,,,,41.3825161,22.7542141
Museum of Galichnik's cultural heritage,,Debar,,museum,,,,,41.5939237,20.652723
Bela Crkva - Trnovci,,Demir Hisar,,church,,,,,41.2514072,21.3625045
Bela Crkva - Buchin,,Demir Hisar,,church,,,,,41.2736831,21.3361759
Museum Strumica,,Strumica,,museum,,,,,41.4354106,22.6364291
Vardarski Rid,,Gevgelija,,museum,,,,,41.1488082,22.5220207
House of Lambeski,,Ohrid,,museum,,,,,41.1123275,20.7970433
Crkva Sv. Kuzman i Damjan - Triangla,,Skopje,,church,,,,,41.9987378,21.4924274
Crkva „Sv. Dimitrij“ - Rimska cisterna,,Resen,,church,,,,,40.8690215,20.9898282
Makedonium,,Krushevo,,museum,,,,,41.377408,21.2483714
Crkva „Rozhdestvo na Presveta Bogorodica“ - Novo Lisiche,,Skopje,,church,,,,,41.9858681,21.4684081
Bilazora - Water Reservoir,,Sveti Nikole,,archaeological_site,,,,,41.8497337,21.9099884
Crkvishte,,Tetovo,,archaeological_site,,,,,42.156669,21.1838994
Crkva Sv. Petka,,Makedonski Brod,,church,,,,,41.5618318,21.1908022
"Muzeu ""Dëshmorët e kombit""",,Kumanovo,,museum,,,,,42.1791177,21.620378
Naroden Muzej,,Sveti Nikole,,museum,,,,,41.8650267,21.9419067
Loven Dom,,Kochani,,museum,,,,,41.9151239,22.4137918
Crkva Rozhdestvo na Presveta Bogorodica i Sveta Petka,,Ohrid,,church,,,,,41.1110018,20.7889594
Archaeological site of Mancevci,,Ohrid,,archaeological_site,,,,,41.1128228,20.7934836
"Pravoslavna crkva ""Sveti Ilija""",,Radovish,,church,,,,,41.6444402,22.4565993
Crkva Presveta Bogorodica,,Skopje,,church,,,,,41.9963028,21.4405383
Church,,Struga,,church,,,,,41.3236049,20.7929425
Crkva sv. Jovan,,Kriva Palanka,,church,,,,,42.2903563,22.0423694
Sv. Blagoveshtenie,,Ohrid,,church,,,,,41.05924,20.8033957
Ss. Cyril and Methodius – Crkva Sv.Kiril i Metodij,,Gostivar,,church,,,,,41.7031608,20.7595909
Katolichka crkva,,Strumica,,church,,,,,41.4350382,22.6401158
Crkva Sv. Nikole,,Gostivar,,church,,,,,41.6645167,20.7334014
Crkva „Rozhdestvo na Presveta Bogorodica“,,Skopje,,church,,,,,41.9769543,21.408415
Manastir Sv. Petka s. Brodec,,Gostivar,,monastery,,,,,41.7638571,20.6723095
Geoglif Sv. Nikole,,Sveti Nikole,,archaeological_site,,,,,41.8291201,21.9566168
Muzej na NOV,,Krushevo,,museum,,,,,41.3756055,21.2457367
Roman & Ottoman Bathouse,,Strumica,,archaeological_site,,,,,41.382463,22.7538513
Crkva Sv. Nikol,,Gostivar,,church,,,,,41.6936732,20.723677
Crkva „Sv. Dimitrij“ - Stara bazilika,,Resen,,church,,,,,40.867842,20.9884912
Rimska crkva,,Skopje,,church,,,,,42.0586697,21.3527926
Crkva „Sv. Petar“ - Crkva „Sv. Dimitrij“,,Resen,,church,,,,,40.8692172,20.9884845
Pristanishte „Sv. Petar“ - Crkva „Sv. Petar“,,Resen,,church,,,,,40.870709,20.9882511
Pateka do manastir Sv. Gjorgji (Knezhino),,Kichevo,,monastery,,,,,41.5123988,20.9223724
Manastir Sv. Nedela,,Struga,,monastery,,,,,41.2177834,20.6942012
Museum of Wine,,Demir Kapija,,museum,,,,,41.4085959,22.2447656
Adventist Church,,Strumica,,church,,,,,41.3777779,22.8136094
Evangelic-Methodist Church,,Strumica,,church,,,,,41.3810101,22.8122003
Crkva Sv.Tripun,,Skopje,,church,,,,,42.0608563,21.3158452
El Kalem,,Skopje,,museum,,,,,41.9869509,21.2876554
Antigona,,Negotino,,archaeological_site,,,,,41.503403,22.1002903
Crkva Sv. Gjorgi,,Bogdanci,,church,,,,,41.2194372,22.7063951
Evangelska crkva Struga,,Struga,,church,,,,,41.1757351,20.6757298
Muzej Shtip,,Shtip,,museum,,,,,41.7366515,22.1897425
Bezisten Shtip,,Shtip,,museum,,,,,41.7375479,22.1926992
Bilazora,,Sveti Nikole,,archaeological_site,,,,,41.8471851,21.9124237
Kokino,,Kumanovo,,archaeological_site,,,,,42.2633818,21.953118
Muzej na Dojran,,Bogdanci,,museum,,,,,41.1871817,22.7221034
Gevgeliski manastir,,Gevgelija,,monastery,,,,,41.1391957,22.510763
Manastir Sveti Jovan,,Veles,,monastery,,,,,41.8286581,21.6894737
Manastirska peshtera,,Skopje,,monastery,,,,,41.9610975,21.2961533
Stanica “Muzej“,,Shtip,,museum,,,,,41.7365081,22.1909377
Manastir Sveta Bogorodica,,Veles,,monastery,,,,,41.8289199,21.6864385
Muzej na Sovremena Umetnost T,,Skopje,,museum,,,,,42.0040991,21.4338483
Museum Teracotta,,Vinica,,museum,,,,,41.8841902,22.5049622
Suldurechki Manastir,,Radovish,,monastery,,,,,41.5806571,22.4832063
Manastir Sv. 40 Machenici,,Skopje,,monastery,,,,,42.0609829,21.3489729
Bistrichki Manastir,,Bitola,,monastery,,,,,40.9799697,21.3555821
Manastir Sv. Spas,,Kavadarci,,monastery,,,,,41.445737,21.9811109
Kostoperska Karpa,,Kumanovo,,archaeological_site,,,,,42.1706665,21.809838
Crkva „Preobrazhenie“,,Kochani,,church,,,,,41.914783,22.4255487
Crkva Sv. Teodor Tiron,,Tetovo,,church,,,,,42.0513253,21.114665
Gradska Biblioteka,,Kriva Palanka,,library,,,,,42.2055718,22.3361557
Chebrenski Manastir,,Prilep,,monastery,,,,,41.1327147,21.6799095
Manastir Sv.Ilija Petti Kladenci,,Kratovo,,monastery,,,,,42.0559851,21.9893707
Manastir Sv. Arhangjel Gavril,,Skopje,,monastery,,,,,41.8850058,21.5837692
Gjurishki Manastir,,Sveti Nikole,,monastery,,,,,41.9030359,21.8375887
Kongresi i Manastir,,Tetovo,,monastery,,,,,42.0130517,20.9695193
Bus to St. Naum Monastery,,Ohrid,,monastery,,,,,41.1161648,20.803939
Manastirche,,Makedonski Brod,,monastery,,,,,41.52037,21.1211002
Manastir Svetog Ilije,,Ohrid,,monastery,,,,,41.1334664,20.8473582
Manastir Sv. Gjorgji,,Radovish,,monastery,,,,,41.6453272,22.5091471
Pat za Manastir kon-Zelenikovo,,Skopje,,monastery,,,,,41.8859326,21.587666
Manastir „Sv. Petka“ - Creshevo,,Skopje,,monastery,,,,,42.0556357,21.5104602
manastir sv.Ilija - Snegovo,,Bitola,,monastery,,,,,41.0679251,21.309226
Sveta Nedela,,Shtip,,monastery,,,,,41.7503884,22.2211631
Matka - Manastir kon centar,,Skopje,,monastery,,,,,41.9609655,21.2962887
Manastir Sv. 15 Machenici,,Strumica,,monastery,,,,,41.4300424,22.6409328
Sv. Bogorodica Balaklija - manastir,,Delchevo,,monastery,,,,,41.9659677,22.7595526
Manastir Sveta petka,,Resen,,monastery,,,,,41.0518754,21.1673647
Pat za Manastir kon-Centar,,Skopje,,monastery,,,,,41.8861109,21.5877187
City Library,,Vinica,,library,,,,,41.8840704,22.5047369
Manastir Sv. Gjorgjija,,Skopje,,monastery,,,,,42.0690911,21.3001786
Fakultetska biblioteka i kompjuternica,,Skopje,,library,,,,,42.0029542,21.4587079
Biblioteka “Goce Delchev“,,Shtip,,library,,,,,41.7358729,22.1946584
Spomen kukja Toshe Proeski,,Krushevo,,memorial_house,,,,,41.3744382,21.2462721
Golema Kula - Kuchkovo,,Skopje,,archaeological_site,,,,,42.0587494,21.2786993
Mala Kula - Kuchkovo,,Skopje,,archaeological_site,,,,,42.0585741,21.2844339
Gradiste kaj s.Brazda,,Skopje,,archaeological_site,,,,,42.0766913,21.398848
Lihnid,,Ohrid,,archaeological_site,,,,,41.1155576,20.7914836
Evangelska Kongreshanska Crkva,,Skopje,,church,,,,,41.9983498,21.4149028
Novoapostolska crkva,,Skopje,,church,,,,,42.0035924,21.3873308
Crkva Sv. Varvara,,Struga,,church,,,,,41.2470654,20.5941789
Katolichka Crkva Sv.Kiril i Metodij,,Bogdanci,,church,,,,,41.2014162,22.5778027
Max van der Stoel,,Tetovo,,library,,,,,41.9867327,20.9599279
Manastir „Sveti Dimitrija“,,Veles,,monastery,,,,,41.7019073,21.7912101
Beli Mugri,,Veles,,library,,,,,41.7180637,21.7782985
Crkva „Hristos Spasitel“,,Skopje,,church,,,,,42.007345,21.3916443
St. Dimitri's Church,,Bitola,,church,,,,,40.9486199,21.59809
Pravoslavna crkva „Sveta Troica“,,Skopje,,church,,,,,41.9920395,21.4643808
Grigor Prlichev,,Ohrid,,library,,,,,41.1126552,20.8006399
Crkva Sv. Nikola,,Tetovo,,church,,,,,42.0456074,21.1380078
Crkva Sveti 40 Sevastiski Machenici,,Ohrid,,church,,,,,41.1130601,20.7941559
Crkva Sv. Nikola Leten,,Gostivar,,church,,,,,41.6600947,20.7354855
