name,website,city,street,amenity,email,region,phone,place,name:en,opening_hours,latitude,longitude
Писокалски Манастир,,Прилеп,,monastery,,,,,Monastery of Pisokal,,41.2487073,21.6078445
Манастир „Свети Наум,,Охрид,,monastery,,,,,The Monastery of Saint Naum,,40.9138479,20.7406601
Крушевички Манастир,,Прилеп,,monastery,,,,,Monastery of Krushevica,,41.1975791,21.6702039
Манастир Св. Петка,,Штип,,monastery,,,,,Monastery St. Paraskevi,,41.7890727,22.3276385
Крушевски Манастир,,Крушево,,monastery,,,,,Monastery of Krushevo,,41.3568797,21.2659215
Манастир Карпино,,Кратово,,monastery,,,,,,,42.1770122,21.993118
Светотодорски Манастир,,Демир Хисар,,monastery,,,,,,,41.2211194,21.3290156
Mémorial de Bitola,,Битола,,museum,,,,,,,41.0410861,21.3586054
Goce Delchev Memorial House,,Битола,,museum,,,,,,,41.0268954,21.3322074
Црква св.Јован Крстител,,Виница,,church,,,,,,,41.8672643,22.481858
Црква „Св. Никола“ - Теново,,Тетово,,church,,,,,,,41.8948781,20.9840677
Оревоечки манастир,,Прилеп,,monastery,,,,,,,41.3665814,21.5983235
St. Giorgi Monastery,,Македонски Брод,,monastery,,,,,,,41.6347942,21.4024749
Старохристијанска базилика,,Ресен,,archaeological_site,,,,,,,40.868899,20.9907631
Римска Куќа,,Ресен,,archaeological_site,,,,,,,40.8685852,20.9909227
Римска куќа,,Ресен,,archaeological_site,,,,,,,40.8692875,20.990465
Ранохристијанска базилика,,Ресен,,archaeological_site,,,,,,,40.8692252,20.9910802
"Раскрсница - Бистра, Крушино, Кнежино Манастир",,Кичево,,monastery,,,,,,,41.5087306,20.920825
Манастирски Поток,,Прилеп,,monastery,,,,,,,41.3913343,21.5504264
Црква „Св. Григориј Палама и Димитриј“,,Струмица,,church,,,,,,,41.4368801,22.6441036
Бела Црква - Воѓани,,Крушево,,church,,,,,,,41.2849923,21.350523
Бела Црква - Обршани,,Крушево,,church,,,,,,,41.2758859,21.3566761
Isar / Idomenae,,Валандово,,archaeological_site,,,,,,,41.2775784,22.4937679
Д-р Никола Незлобински,,Струга,,museum,,,,,,,41.1805738,20.6776078
Протестантска црква,,Струмица,,church,,,,,,,41.4164588,22.7503838
Бела Црква - Пашино Рувци,,Демир Хисар,,church,,,,,,,41.2615529,21.3610561
Konjuh,,Кратово,,archaeological_site,,,,,,,42.1003011,21.9665342
Bargala,,Штип,,archaeological_site,,,,,,,41.7995125,22.289829
Roman Bathhouse,,Струмица,,archaeological_site,,,,,,,41.3825161,22.7542141
Museum of Galichnik's cultural heritage,,Дебар,,museum,,,,,,,41.5939237,20.652723
Бела Црква - Трновци,,Демир Хисар,,church,,,,,,,41.2514072,21.3625045
Бела Црква - Бучин,,Демир Хисар,,church,,,,,,,41.2736831,21.3361759
Museum Strumica,,Струмица,,museum,,,,,,,41.4354106,22.6364291
Vardarski Rid,,Гевгелија,,museum,,,,,,,41.1488082,22.5220207
House of Lambeski,,Охрид,,museum,,,,,,,41.1123275,20.7970433
Црква Св. Кузман и Дамјан - Триангла,,Скопје,,church,,,,,,,41.9987378,21.4924274
Црква „Св. Димитриј“ - Римска цистерна,,Ресен,,church,,,,,,,40.8690215,20.9898282
Македониум,,Крушево,,museum,,,,,,,41.377408,21.2483714
Црква „Рождество на Пресвета Богородица“ - Ново Лисиче,,Скопје,,church,,,,,,,41.9858681,21.4684081
Bilazora - Water Reservoir,,Свети Николе,,archaeological_site,,,,,,,41.8497337,21.9099884
Црквиште,,Тетово,,archaeological_site,,,,,,,42.156669,21.1838994
Црква Св. Петка,,Македонски Брод,,church,,,,,,,41.5618318,21.1908022
"Muzeu ""Dëshmorët e kombit""",,Куманово,,museum,,,,,,,42.1791177,21.620378
Народен Музеј,,Свети Николе,,museum,,,,,,,41.8650267,21.9419067
Ловен Дом,,Кочани,,museum,,,,,,,41.9151239,22.4137918
Црква Рождество на Пресвета Богородица и Света Петка,,Охрид,,church,,,,,,,41.1110018,20.7889594
"Archaeological site of Mancevci, Early Christian Basilica 5 AC",,Охрид,,archaeological_site,,,,,,,41.1128228,20.7934836
"Православна црква ""Свети Илија""",,Радовиш,,church,,,,,,,41.6444402,22.4565993
Црква Пресвета Богородица,,Скопје,,church,,,,,,,41.9963028,21.4405383
Church,,Струга,,church,,,,,,,41.3236049,20.7929425
Црква св. Jован,,Крива Паланка,,church,,,,,,,42.2903563,22.0423694
Св. Благовештение,,Охрид,,church,,,,,,,41.05924,20.8033957
Ss. Cyril and Methodius – Црква Св.Кирил и Методиј,,Гостивар,,church,,,,,,,41.7031608,20.7595909
Католичка црква,,Струмица,,church,,,,,,,41.4350382,22.6401158
Црква Св. Николе,,Гостивар,,church,,,,,,,41.6645167,20.7334014
Црква „Рождество на Пресвета Богородица“,,Скопје,,church,,,,,,,41.9769543,21.408415
Манастир Св. Петка с. Бродец,,Гостивар,,monastery,,,,,,,41.7638571,20.6723095
Geoglif Sv. Nikole,,Свети Николе,,archaeological_site,,,,,,,41.8291201,21.9566168
Музеј на НОВ,,Крушево,,museum,,,,,,,41.3756055,21.2457367
Roman & Ottoman Bathouse,,Струмица,,archaeological_site,,,,,,,41.382463,22.7538513
Црква Св. Никол,,Гостивар,,church,,,,,,,41.6936732,20.723677
Црква „Св. Димитриј“ - Стара базилика,,Ресен,,church,,,,,,,40.867842,20.9884912
Rimska crkva,,Скопје,,church,,,,,,,42.0586697,21.3527926
Црква „Св. Петар“ - Црква „Св. Димитриј“,,Ресен,,church,,,,,,,40.8692172,20.9884845
Пристаниште „Св. Петар“ - Црква „Св. Петар“,,Ресен,,church,,,,,,,40.870709,20.9882511
Патека до манастир Св. Ѓорѓи (Кнежино),,Кичево,,monastery,,,,,,,41.5123988,20.9223724
Манастир Св. Недела,,Струга,,monastery,,,,,,,41.2177834,20.6942012
Museum of Wine,,Демир Капија,,museum,,,,,,,41.4085959,22.2447656
Adventist Church,,Струмица,,church,,,,,,,41.3777779,22.8136094
Evangelic-Methodist Church,,Струмица,,church,,,,,,,41.3810101,22.8122003
Crkva Sv.Tripun,,Скопје,,church,,,,,,,42.0608563,21.3158452
Ел Калем,,Скопје,,museum,,,,,,,41.9869509,21.2876554
Антигона,,Неготино,,archaeological_site,,,,,,,41.503403,22.1002903
Црква Св. Ѓорги,,Богданци,,church,,,,,,,41.2194372,22.7063951
Евангелска црква Струга,,Струга,,church,,,,,,,41.1757351,20.6757298
Музеј Штип,,Штип,,museum,,,,,,,41.7366515,22.1897425
Безистен Штип,,Штип,,museum,,,,,,,41.7375479,22.1926992
Билазора,,Свети Николе,,archaeological_site,,,,,,,41.8471851,21.9124237
Кокино,,Куманово,,archaeological_site,,,,,,,42.2633818,21.953118
Музеј на Дојран,,Богданци,,museum,,,,,,,41.1871817,22.7221034
Гевгелиски манастир,,Гевгелија,,monastery,,,,,,,41.1391957,22.510763
Manastir Sveti Jovan,,Велес,,monastery,,,,,,,41.8286581,21.6894737
Манастирска пештера,,Скопје,,monastery,,,,,,,41.9610975,21.2961533
Станица “Музеј“,,Штип,,museum,,,,,,,41.7365081,22.1909377
Manastir Sveta Bogorodica,,Велес,,monastery,,,,,,,41.8289199,21.6864385
Музеј на Современа Уметност Т,,Скопје,,museum,,,,,,,42.0040991,21.4338483
Museum Teracotta,,Виница,,museum,,,,,,,41.8841902,22.5049622
Сулдуречки Манастир,,Радовиш,,monastery,,,,,,,41.5806571,22.4832063
Манастир Св. 40 Маченици,,Скопје,,monastery,,,,,,,42.0609829,21.3489729
Бистрички Манастир,,Битола,,monastery,,,,,,,40.9799697,21.3555821
Manastir Sv. Spas,,Кавадарци,,monastery,,,,,,,41.445737,21.9811109
Костоперска Карпа,,Куманово,,archaeological_site,,,,,,,42.1706665,21.809838
Црква „Преображение“,,Кочани,,church,,,,,,,41.914783,22.4255487
Црква Св. Теодор Тирон,,Тетово,,church,,,,,,,42.0513253,21.114665
Gradska Biblioteka,,Крива Паланка,,library,,,,,,,42.2055718,22.3361557
Чебренски Манастир,,Прилеп,,monastery,,,,,,,41.1327147,21.6799095
Манастир Св.Илија Петти Кладенци,,Кратово,,monastery,,,,,,,42.0559851,21.9893707
Манастир Св. Арханѓел Гаврил,,Скопје,,monastery,,,,,,,41.8850058,21.5837692
Ѓуришки Манастир,,Свети Николе,,monastery,,,,,,,41.9030359,21.8375887
Конгреси и Манастир,,Тетово,,monastery,,,,,,,42.0130517,20.9695193
Bus to St. Naum Monastery,,Охрид,,monastery,,,,,,,41.1161648,20.803939
Manastirche,,Македонски Брод,,monastery,,,,,,,41.52037,21.1211002
Manastir Svetog Ilije,,Охрид,,monastery,,,,,,,41.1334664,20.8473582
Манастир Св. Ѓорѓи,,Радовиш,,monastery,,,,,,,41.6453272,22.5091471
Пат за Манастир кон-Зелениково,,Скопје,,monastery,,,,,,,41.8859326,21.587666
Манастир „Св. Петка“ - Црешево,,Скопје,,monastery,,,,,,,42.0556357,21.5104602
манастир св.Илија - Снегово,,Битола,,monastery,,,,,,,41.0679251,21.309226
Света Недела,,Штип,,monastery,,,,,,,41.7503884,22.2211631
Матка - Манастир кон центар,,Скопје,,monastery,,,,,,,41.9609655,21.2962887
Манастир Св. 15 Маченици,,Струмица,,monastery,,,,,,,41.4300424,22.6409328
Св. Богородица Балаклија - манастир,,Делчево,,monastery,,,,,,,41.9659677,22.7595526
Manastir Sveta petka,,Ресен,,monastery,,,,,,,41.0518754,21.1673647
Пат за Манастир кон-Центар,,Скопје,,monastery,,,,,,,41.8861109,21.5877187
City Library,,Виница,,library,,,,,,,41.8840704,22.5047369
Манастир Св. Ѓорѓија,,Скопје,,monastery,,,,,,,42.0690911,21.3001786
Факултетска библиотека и компјутерница,,Скопје,,library,,,,,,,42.0029542,21.4587079
Библиотека “Гоце Делчев“,,Штип,,library,,,,,,,41.7358729,22.1946584
Спомен куќа Тоше Проески,,Крушево,,memorial_house,,,,,,,41.3744382,21.2462721
Голема Кула - Кучково,,Скопје,,archaeological_site,,,,,,,42.0587494,21.2786993
Мала Кула - Кучково,,Скопје,,archaeological_site,,,,,,,42.0585741,21.2844339
Gradiste kaj s.Brazda,,Скопје,,archaeological_site,,,,,,,42.0766913,21.398848
Лихнид,,Охрид,,archaeological_site,,,,,,,41.1155576,20.7914836
Евангелска Конгрешанска Црква,,Скопје,,church,,,,,,,41.9983498,21.4149028
Новоапостолска црква,,Скопје,,church,,,,,,,42.0035924,21.3873308
Црква Св. Варвара,,Струга,,church,,,,,,,41.2470654,20.5941789
Католичка Црква Св.Кирил и Методиј,,Богданци,,church,,,,,,,41.2014162,22.5778027
Max van der Stoel,,Тетово,,library,,,,,,,41.9867327,20.9599279
Манастир „Свети Димитрија“,,Велес,,monastery,,,,,,,41.7019073,21.7912101
Бели Мугри,,Велес,,library,,,,,,,41.7180637,21.7782985
Црква „Христос Спасител“,,Скопје,,church,,,,,,,42.007345,21.3916443
St. Dimitri's Church,,Битола,,church,,,,,,,40.9486199,21.59809
Православна црква „Света Троица“,,Скопје,,church,,,,,,,41.9920395,21.4643808
Григор Прличев,,Охрид,,library,,,,,,,41.1126552,20.8006399
Црква Св. Никола,,Тетово,,church,,,,,,,42.0456074,21.1380078
Црква Свети 40 Севастиски Маченици,,Охрид,,church,,,,,,,41.1130601,20.7941559
Црква Св. Никола Летен,,Гостивар,,church,,,,,,,41.6600947,20.7354855
